date_key,full_date,day_of_week,day_name,month,month_name,quarter,year,fiscal_period,fiscal_year,is_weekend,is_holiday
20230406,2023-04-06,4,Thursday,4,April,2,2023,FY2023-P04,2023,False,N
20230407,2023-04-07,5,Friday,4,April,2,2023,FY2023-P04,2023,False,N
20230408,2023-04-08,6,Saturday,4,April,2,2023,FY2023-P04,2023,True,N
20230409,2023-04-09,7,Sunday,4,April,2,2023,FY2023-P04,2023,True,N
20230410,2023-04-10,1,Monday,4,April,2,2023,FY2023-P04,2023,False,N
20230411,2023-04-11,2,Tuesday,4,April,2,2023,FY2023-P04,2023,False,N
20230412,2023-04-12,3,Wednesday,4,April,2,2023,FY2023-P04,2023,False,N
20230413,2023-04-13,4,Thursday,4,April,2,2023,FY2023-P04,2023,False,N
20230414,2023-04-14,5,Friday,4,April,2,2023,FY2023-P04,2023,False,N
20230415,2023-04-15,6,Saturday,4,April,2,2023,FY2023-P04,2023,True,N
20230416,2023-04-16,7,Sunday,4,April,2,2023,FY2023-P04,2023,True,N
20230417,2023-04-17,1,Monday,4,April,2,2023,FY2023-P04,2023,False,N
20230418,2023-04-18,2,Tuesday,4,April,2,2023,FY2023-P04,2023,False,N
20230419,2023-04-19,3,Wednesday,4,April,2,2023,FY2023-P04,2023,False,N
20230420,2023-04-20,4,Thursday,4,April,2,2023,FY2023-P04,2023,False,N
20230421,2023-04-21,5,Friday,4,April,2,2023,FY2023-P04,2023,False,N
20230422,2023-04-22,6,Saturday,4,April,2,2023,FY2023-P04,2023,True,N
20230423,2023-04-23,7,Sunday,4,April,2,2023,FY2023-P04,2023,True,N
20230424,2023-04-24,1,Monday,4,April,2,2023,FY2023-P04,2023,False,N
20230425,2023-04-25,2,Tuesday,4,April,2,2023,FY2023-P04,2023,False,N
20230426,2023-04-26,3,Wednesday,4,April,2,2023,FY2023-P04,2023,False,N
20230427,2023-04-27,4,Thursday,4,April,2,2023,FY2023-P04,2023,False,N
20230428,2023-04-28,5,Friday,4,April,2,2023,FY2023-P04,2023,False,N
20230429,2023-04-29,6,Saturday,4,April,2,2023,FY2023-P04,2023,True,N
20230430,2023-04-30,7,Sunday,4,April,2,2023,FY2023-P04,2023,True,N
20230501,2023-05-01,1,Monday,5,May,2,2023,FY2023-P05,2023,False,N
20230502,2023-05-02,2,Tuesday,5,May,2,2023,FY2023-P05,2023,False,N
20230503,2023-05-03,3,Wednesday,5,May,2,2023,FY2023-P05,2023,False,N
20230504,2023-05-04,4,Thursday,5,May,2,2023,FY2023-P05,2023,False,N
20230505,2023-05-05,5,Friday,5,May,2,2023,FY2023-P05,2023,False,N
20230506,2023-05-06,6,Saturday,5,May,2,2023,FY2023-P05,2023,True,N
20230507,2023-05-07,7,Sunday,5,May,2,2023,FY2023-P05,2023,True,N
20230508,2023-05-08,1,Monday,5,May,2,2023,FY2023-P05,2023,False,N
20230509,2023-05-09,2,Tuesday,5,May,2,2023,FY2023-P05,2023,False,N
20230510,2023-05-10,3,Wednesday,5,May,2,2023,FY2023-P05,2023,False,N
20230511,2023-05-11,4,Thursday,5,May,2,2023,FY2023-P05,2023,False,N
20230512,2023-05-12,5,Friday,5,May,2,2023,FY2023-P05,2023,False,N
20230513,2023-05-13,6,Saturday,5,May,2,2023,FY2023-P05,2023,True,N
20230514,2023-05-14,7,Sunday,5,May,2,2023,FY2023-P05,2023,True,N
20230515,2023-05-15,1,Monday,5,May,2,2023,FY2023-P05,2023,False,N
20230516,2023-05-16,2,Tuesday,5,May,2,2023,FY2023-P05,2023,False,N
20230517,2023-05-17,3,Wednesday,5,May,2,2023,FY2023-P05,2023,False,N
20230518,2023-05-18,4,Thursday,5,May,2,2023,FY2023-P05,2023,False,N
20230519,2023-05-19,5,Friday,5,May,2,2023,FY2023-P05,2023,False,N
20230520,2023-05-20,6,Saturday,5,May,2,2023,FY2023-P05,2023,True,N
20230521,2023-05-21,7,Sunday,5,May,2,2023,FY2023-P05,2023,True,N
20230522,2023-05-22,1,Monday,5,May,2,2023,FY2023-P05,2023,False,N
20230523,2023-05-23,2,Tuesday,5,May,2,2023,FY2023-P05,2023,False,N
20230524,2023-05-24,3,Wednesday,5,May,2,2023,FY2023-P05,2023,False,N
20230525,2023-05-25,4,Thursday,5,May,2,2023,FY2023-P05,2023,False,N
20230526,2023-05-26,5,Friday,5,May,2,2023,FY2023-P05,2023,False,N
20230527,2023-05-27,6,Saturday,5,May,2,2023,FY2023-P05,2023,True,N
20230528,2023-05-28,7,Sunday,5,May,2,2023,FY2023-P05,2023,True,N
20230529,2023-05-29,1,Monday,5,May,2,2023,FY2023-P05,2023,False,N
20230530,2023-05-30,2,Tuesday,5,May,2,2023,FY2023-P05,2023,False,N
20230531,2023-05-31,3,Wednesday,5,May,2,2023,FY2023-P05,2023,False,N
20230601,2023-06-01,4,Thursday,6,June,2,2023,FY2023-P06,2023,False,N
20230602,2023-06-02,5,Friday,6,June,2,2023,FY2023-P06,2023,False,N
20230603,2023-06-03,6,Saturday,6,June,2,2023,FY2023-P06,2023,True,N
20230604,2023-06-04,7,Sunday,6,June,2,2023,FY2023-P06,2023,True,N
20230605,2023-06-05,1,Monday,6,June,2,2023,FY2023-P06,2023,False,N
20230606,2023-06-06,2,Tuesday,6,June,2,2023,FY2023-P06,2023,False,N
20230607,2023-06-07,3,Wednesday,6,June,2,2023,FY2023-P06,2023,False,N
20230608,2023-06-08,4,Thursday,6,June,2,2023,FY2023-P06,2023,False,N
20230609,2023-06-09,5,Friday,6,June,2,2023,FY2023-P06,2023,False,N
20230610,2023-06-10,6,Saturday,6,June,2,2023,FY2023-P06,2023,True,N
20230611,2023-06-11,7,Sunday,6,June,2,2023,FY2023-P06,2023,True,N
20230612,2023-06-12,1,Monday,6,June,2,2023,FY2023-P06,2023,False,N
20230613,2023-06-13,2,Tuesday,6,June,2,2023,FY2023-P06,2023,False,N
20230614,2023-06-14,3,Wednesday,6,June,2,2023,FY2023-P06,2023,False,N
20230615,2023-06-15,4,Thursday,6,June,2,2023,FY2023-P06,2023,False,N
20230616,2023-06-16,5,Friday,6,June,2,2023,FY2023-P06,2023,False,N
20230617,2023-06-17,6,Saturday,6,June,2,2023,FY2023-P06,2023,True,N
20230618,2023-06-18,7,Sunday,6,June,2,2023,FY2023-P06,2023,True,N
20230619,2023-06-19,1,Monday,6,June,2,2023,FY2023-P06,2023,False,N
20230620,2023-06-20,2,Tuesday,6,June,2,2023,FY2023-P06,2023,False,N
20230621,2023-06-21,3,Wednesday,6,June,2,2023,FY2023-P06,2023,False,N
20230622,2023-06-22,4,Thursday,6,June,2,2023,FY2023-P06,2023,False,N
20230623,2023-06-23,5,Friday,6,June,2,2023,FY2023-P06,2023,False,N
20230624,2023-06-24,6,Saturday,6,June,2,2023,FY2023-P06,2023,True,N
20230625,2023-06-25,7,Sunday,6,June,2,2023,FY2023-P06,2023,True,N
20230626,2023-06-26,1,Monday,6,June,2,2023,FY2023-P06,2023,False,N
20230627,2023-06-27,2,Tuesday,6,June,2,2023,FY2023-P06,2023,False,N
20230628,2023-06-28,3,Wednesday,6,June,2,2023,FY2023-P06,2023,False,N
20230629,2023-06-29,4,Thursday,6,June,2,2023,FY2023-P06,2023,False,N
20230630,2023-06-30,5,Friday,6,June,2,2023,FY2023-P06,2023,False,N
20230701,2023-07-01,6,Saturday,7,July,3,2023,FY2023-P07,2023,True,N
20230702,2023-07-02,7,Sunday,7,July,3,2023,FY2023-P07,2023,True,N
20230703,2023-07-03,1,Monday,7,July,3,2023,FY2023-P07,2023,False,N
20230704,2023-07-04,2,Tuesday,7,July,3,2023,FY2023-P07,2023,False,N
20230705,2023-07-05,3,Wednesday,7,July,3,2023,FY2023-P07,2023,False,N
20230706,2023-07-06,4,Thursday,7,July,3,2023,FY2023-P07,2023,False,N
20230707,2023-07-07,5,Friday,7,July,3,2023,FY2023-P07,2023,False,N
20230708,2023-07-08,6,Saturday,7,July,3,2023,FY2023-P07,2023,True,N
20230709,2023-07-09,7,Sunday,7,July,3,2023,FY2023-P07,2023,True,N
20230710,2023-07-10,1,Monday,7,July,3,2023,FY2023-P07,2023,False,N
20230711,2023-07-11,2,Tuesday,7,July,3,2023,FY2023-P07,2023,False,N
20230712,2023-07-12,3,Wednesday,7,July,3,2023,FY2023-P07,2023,False,N
20230713,2023-07-13,4,Thursday,7,July,3,2023,FY2023-P07,2023,False,N
20230714,2023-07-14,5,Friday,7,July,3,2023,FY2023-P07,2023,False,N
20230715,2023-07-15,6,Saturday,7,July,3,2023,FY2023-P07,2023,True,N
20230716,2023-07-16,7,Sunday,7,July,3,2023,FY2023-P07,2023,True,N
20230717,2023-07-17,1,Monday,7,July,3,2023,FY2023-P07,2023,False,N
20230718,2023-07-18,2,Tuesday,7,July,3,2023,FY2023-P07,2023,False,N
20230719,2023-07-19,3,Wednesday,7,July,3,2023,FY2023-P07,2023,False,N
20230720,2023-07-20,4,Thursday,7,July,3,2023,FY2023-P07,2023,False,N
20230721,2023-07-21,5,Friday,7,July,3,2023,FY2023-P07,2023,False,N
20230722,2023-07-22,6,Saturday,7,July,3,2023,FY2023-P07,2023,True,N
20230723,2023-07-23,7,Sunday,7,July,3,2023,FY2023-P07,2023,True,N
20230724,2023-07-24,1,Monday,7,July,3,2023,FY2023-P07,2023,False,N
20230725,2023-07-25,2,Tuesday,7,July,3,2023,FY2023-P07,2023,False,N
20230726,2023-07-26,3,Wednesday,7,July,3,2023,FY2023-P07,2023,False,N
20230727,2023-07-27,4,Thursday,7,July,3,2023,FY2023-P07,2023,False,N
20230728,2023-07-28,5,Friday,7,July,3,2023,FY2023-P07,2023,False,N
20230729,2023-07-29,6,Saturday,7,July,3,2023,FY2023-P07,2023,True,N
20230730,2023-07-30,7,Sunday,7,July,3,2023,FY2023-P07,2023,True,N
20230731,2023-07-31,1,Monday,7,July,3,2023,FY2023-P07,2023,False,N
20230801,2023-08-01,2,Tuesday,8,August,3,2023,FY2023-P08,2023,False,N
20230802,2023-08-02,3,Wednesday,8,August,3,2023,FY2023-P08,2023,False,N
20230803,2023-08-03,4,Thursday,8,August,3,2023,FY2023-P08,2023,False,N
20230804,2023-08-04,5,Friday,8,August,3,2023,FY2023-P08,2023,False,N
20230805,2023-08-05,6,Saturday,8,August,3,2023,FY2023-P08,2023,True,N
20230806,2023-08-06,7,Sunday,8,August,3,2023,FY2023-P08,2023,True,N
20230807,2023-08-07,1,Monday,8,August,3,2023,FY2023-P08,2023,False,N
20230808,2023-08-08,2,Tuesday,8,August,3,2023,FY2023-P08,2023,False,N
20230809,2023-08-09,3,Wednesday,8,August,3,2023,FY2023-P08,2023,False,N
20230810,2023-08-10,4,Thursday,8,August,3,2023,FY2023-P08,2023,False,N
20230811,2023-08-11,5,Friday,8,August,3,2023,FY2023-P08,2023,False,N
20230812,2023-08-12,6,Saturday,8,August,3,2023,FY2023-P08,2023,True,N
20230813,2023-08-13,7,Sunday,8,August,3,2023,FY2023-P08,2023,True,N
20230814,2023-08-14,1,Monday,8,August,3,2023,FY2023-P08,2023,False,N
20230815,2023-08-15,2,Tuesday,8,August,3,2023,FY2023-P08,2023,False,N
20230816,2023-08-16,3,Wednesday,8,August,3,2023,FY2023-P08,2023,False,N
20230817,2023-08-17,4,Thursday,8,August,3,2023,FY2023-P08,2023,False,N
20230818,2023-08-18,5,Friday,8,August,3,2023,FY2023-P08,2023,False,N
20230819,2023-08-19,6,Saturday,8,August,3,2023,FY2023-P08,2023,True,N
20230820,2023-08-20,7,Sunday,8,August,3,2023,FY2023-P08,2023,True,N
20230821,2023-08-21,1,Monday,8,August,3,2023,FY2023-P08,2023,False,N
20230822,2023-08-22,2,Tuesday,8,August,3,2023,FY2023-P08,2023,False,N
20230823,2023-08-23,3,Wednesday,8,August,3,2023,FY2023-P08,2023,False,N
20230824,2023-08-24,4,Thursday,8,August,3,2023,FY2023-P08,2023,False,N
20230825,2023-08-25,5,Friday,8,August,3,2023,FY2023-P08,2023,False,N
20230826,2023-08-26,6,Saturday,8,August,3,2023,FY2023-P08,2023,True,N
20230827,2023-08-27,7,Sunday,8,August,3,2023,FY2023-P08,2023,True,N
20230828,2023-08-28,1,Monday,8,August,3,2023,FY2023-P08,2023,False,N
20230829,2023-08-29,2,Tuesday,8,August,3,2023,FY2023-P08,2023,False,N
20230830,2023-08-30,3,Wednesday,8,August,3,2023,FY2023-P08,2023,False,N
20230831,2023-08-31,4,Thursday,8,August,3,2023,FY2023-P08,2023,False,N
20230901,2023-09-01,5,Friday,9,September,3,2023,FY2023-P09,2023,False,N
20230902,2023-09-02,6,Saturday,9,September,3,2023,FY2023-P09,2023,True,N
20230903,2023-09-03,7,Sunday,9,September,3,2023,FY2023-P09,2023,True,N
20230904,2023-09-04,1,Monday,9,September,3,2023,FY2023-P09,2023,False,N
20230905,2023-09-05,2,Tuesday,9,September,3,2023,FY2023-P09,2023,False,N
20230906,2023-09-06,3,Wednesday,9,September,3,2023,FY2023-P09,2023,False,N
20230907,2023-09-07,4,Thursday,9,September,3,2023,FY2023-P09,2023,False,N
20230908,2023-09-08,5,Friday,9,September,3,2023,FY2023-P09,2023,False,N
20230909,2023-09-09,6,Saturday,9,September,3,2023,FY2023-P09,2023,True,N
20230910,2023-09-10,7,Sunday,9,September,3,2023,FY2023-P09,2023,True,N
20230911,2023-09-11,1,Monday,9,September,3,2023,FY2023-P09,2023,False,N
20230912,2023-09-12,2,Tuesday,9,September,3,2023,FY2023-P09,2023,False,N
20230913,2023-09-13,3,Wednesday,9,September,3,2023,FY2023-P09,2023,False,N
20230914,2023-09-14,4,Thursday,9,September,3,2023,FY2023-P09,2023,False,N
20230915,2023-09-15,5,Friday,9,September,3,2023,FY2023-P09,2023,False,N
20230916,2023-09-16,6,Saturday,9,September,3,2023,FY2023-P09,2023,True,N
20230917,2023-09-17,7,Sunday,9,September,3,2023,FY2023-P09,2023,True,N
20230918,2023-09-18,1,Monday,9,September,3,2023,FY2023-P09,2023,False,N
20230919,2023-09-19,2,Tuesday,9,September,3,2023,FY2023-P09,2023,False,N
20230920,2023-09-20,3,Wednesday,9,September,3,2023,FY2023-P09,2023,False,N
20230921,2023-09-21,4,Thursday,9,September,3,2023,FY2023-P09,2023,False,N
20230922,2023-09-22,5,Friday,9,September,3,2023,FY2023-P09,2023,False,N
20230923,2023-09-23,6,Saturday,9,September,3,2023,FY2023-P09,2023,True,N
20230924,2023-09-24,7,Sunday,9,September,3,2023,FY2023-P09,2023,True,N
20230925,2023-09-25,1,Monday,9,September,3,2023,FY2023-P09,2023,False,N
20230926,2023-09-26,2,Tuesday,9,September,3,2023,FY2023-P09,2023,False,N
20230927,2023-09-27,3,Wednesday,9,September,3,2023,FY2023-P09,2023,False,N
20230928,2023-09-28,4,Thursday,9,September,3,2023,FY2023-P09,2023,False,N
20230929,2023-09-29,5,Friday,9,September,3,2023,FY2023-P09,2023,False,N
20230930,2023-09-30,6,Saturday,9,September,3,2023,FY2023-P09,2023,True,N
20231001,2023-10-01,7,Sunday,10,October,4,2023,FY2023-P10,2023,True,N
20231002,2023-10-02,1,Monday,10,October,4,2023,FY2023-P10,2023,False,N
20231003,2023-10-03,2,Tuesday,10,October,4,2023,FY2023-P10,2023,False,N
20231004,2023-10-04,3,Wednesday,10,October,4,2023,FY2023-P10,2023,False,N
20231005,2023-10-05,4,Thursday,10,October,4,2023,FY2023-P10,2023,False,N
20231006,2023-10-06,5,Friday,10,October,4,2023,FY2023-P10,2023,False,N
20231007,2023-10-07,6,Saturday,10,October,4,2023,FY2023-P10,2023,True,N
20231008,2023-10-08,7,Sunday,10,October,4,2023,FY2023-P10,2023,True,N
20231009,2023-10-09,1,Monday,10,October,4,2023,FY2023-P10,2023,False,N
20231010,2023-10-10,2,Tuesday,10,October,4,2023,FY2023-P10,2023,False,N
20231011,2023-10-11,3,Wednesday,10,October,4,2023,FY2023-P10,2023,False,N
20231012,2023-10-12,4,Thursday,10,October,4,2023,FY2023-P10,2023,False,N
20231013,2023-10-13,5,Friday,10,October,4,2023,FY2023-P10,2023,False,N
20231014,2023-10-14,6,Saturday,10,October,4,2023,FY2023-P10,2023,True,N
20231015,2023-10-15,7,Sunday,10,October,4,2023,FY2023-P10,2023,True,N
20231016,2023-10-16,1,Monday,10,October,4,2023,FY2023-P10,2023,False,N
20231017,2023-10-17,2,Tuesday,10,October,4,2023,FY2023-P10,2023,False,N
20231018,2023-10-18,3,Wednesday,10,October,4,2023,FY2023-P10,2023,False,N
20231019,2023-10-19,4,Thursday,10,October,4,2023,FY2023-P10,2023,False,N
20231020,2023-10-20,5,Friday,10,October,4,2023,FY2023-P10,2023,False,N
20231021,2023-10-21,6,Saturday,10,October,4,2023,FY2023-P10,2023,True,N
20231022,2023-10-22,7,Sunday,10,October,4,2023,FY2023-P10,2023,True,N
20231023,2023-10-23,1,Monday,10,October,4,2023,FY2023-P10,2023,False,N
20231024,2023-10-24,2,Tuesday,10,October,4,2023,FY2023-P10,2023,False,N
20231025,2023-10-25,3,Wednesday,10,October,4,2023,FY2023-P10,2023,False,N
20231026,2023-10-26,4,Thursday,10,October,4,2023,FY2023-P10,2023,False,N
20231027,2023-10-27,5,Friday,10,October,4,2023,FY2023-P10,2023,False,N
20231028,2023-10-28,6,Saturday,10,October,4,2023,FY2023-P10,2023,True,N
20231029,2023-10-29,7,Sunday,10,October,4,2023,FY2023-P10,2023,True,N
20231030,2023-10-30,1,Monday,10,October,4,2023,FY2023-P10,2023,False,N
20231031,2023-10-31,2,Tuesday,10,October,4,2023,FY2023-P10,2023,False,N
20231101,2023-11-01,3,Wednesday,11,November,4,2023,FY2023-P11,2023,False,N
20231102,2023-11-02,4,Thursday,11,November,4,2023,FY2023-P11,2023,False,N
20231103,2023-11-03,5,Friday,11,November,4,2023,FY2023-P11,2023,False,N
20231104,2023-11-04,6,Saturday,11,November,4,2023,FY2023-P11,2023,True,N
20231105,2023-11-05,7,Sunday,11,November,4,2023,FY2023-P11,2023,True,N
20231106,2023-11-06,1,Monday,11,November,4,2023,FY2023-P11,2023,False,N
20231107,2023-11-07,2,Tuesday,11,November,4,2023,FY2023-P11,2023,False,N
20231108,2023-11-08,3,Wednesday,11,November,4,2023,FY2023-P11,2023,False,N
20231109,2023-11-09,4,Thursday,11,November,4,2023,FY2023-P11,2023,False,N
20231110,2023-11-10,5,Friday,11,November,4,2023,FY2023-P11,2023,False,N
20231111,2023-11-11,6,Saturday,11,November,4,2023,FY2023-P11,2023,True,N
20231112,2023-11-12,7,Sunday,11,November,4,2023,FY2023-P11,2023,True,N
20231113,2023-11-13,1,Monday,11,November,4,2023,FY2023-P11,2023,False,N
20231114,2023-11-14,2,Tuesday,11,November,4,2023,FY2023-P11,2023,False,N
20231115,2023-11-15,3,Wednesday,11,November,4,2023,FY2023-P11,2023,False,N
20231116,2023-11-16,4,Thursday,11,November,4,2023,FY2023-P11,2023,False,N
20231117,2023-11-17,5,Friday,11,November,4,2023,FY2023-P11,2023,False,N
20231118,2023-11-18,6,Saturday,11,November,4,2023,FY2023-P11,2023,True,N
20231119,2023-11-19,7,Sunday,11,November,4,2023,FY2023-P11,2023,True,N
20231120,2023-11-20,1,Monday,11,November,4,2023,FY2023-P11,2023,False,N
20231121,2023-11-21,2,Tuesday,11,November,4,2023,FY2023-P11,2023,False,N
20231122,2023-11-22,3,Wednesday,11,November,4,2023,FY2023-P11,2023,False,N
20231123,2023-11-23,4,Thursday,11,November,4,2023,FY2023-P11,2023,False,N
20231124,2023-11-24,5,Friday,11,November,4,2023,FY2023-P11,2023,False,N
20231125,2023-11-25,6,Saturday,11,November,4,2023,FY2023-P11,2023,True,N
20231126,2023-11-26,7,Sunday,11,November,4,2023,FY2023-P11,2023,True,N
